Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0110,36,1,0,2,4,Remote,22,7,5,1,Burnout,0,No Change,1,0,5,0,1,1
EMP0111,34,0,0,1,29,Hybrid,29,13,3,0,Anxiety,1,Increase,5,2,5,1,0,0
EMP0112,49,1,2,2,30,Remote,34,8,5,1,Burnout,0,Decrease,5,2,1,1,1,0
EMP0113,45,0,3,6,10,Remote,30,7,1,1,Depression,1,Increase,1,1,5,1,2,2
EMP0114,45,3,0,6,21,Onsite,53,0,3,1,Burnout,1,Decrease,1,0,5,0,2,2
EMP0115,53,0,1,3,25,Remote,29,5,2,0,Anxiety,0,No Change,5,0,3,1,2,4
EMP0116,29,1,3,1,35,Onsite,27,1,3,2,Anxiety,1,No Change,3,2,3,1,1,5
EMP0117,34,3,4,2,5,Onsite,44,14,3,2,Burnout,0,Increase,5,1,3,0,1,3
EMP0118,58,0,0,1,25,Remote,42,13,2,0,Burnout,0,Increase,5,1,3,0,1,2
EMP0119,38,0,0,5,1,Hybrid,22,4,2,2,Burnout,1,Increase,5,1,3,0,0,2
EMP0120,40,3,4,0,27,Hybrid,34,13,2,2,Burnout,1,Decrease,2,2,5,0,0,0
EMP0121,45,3,4,5,29,Onsite,51,13,2,0,Anxiety,0,Decrease,2,0,5,0,0,5
EMP0122,43,2,3,6,18,Hybrid,48,6,5,0,Depression,1,No Change,2,2,3,1,1,2
EMP0123,50,1,6,3,35,Onsite,30,10,2,0,Anxiety,1,No Change,3,2,1,1,1,0
EMP0124,58,3,5,0,14,Onsite,59,7,2,1,Burnout,1,Increase,1,1,5,1,0,3
EMP0125,42,2,2,5,27,Remote,26,14,2,0,Depression,1,No Change,1,2,4,0,0,5
EMP0126,53,3,0,2,27,Hybrid,60,1,3,1,Burnout,0,Increase,5,2,4,1,0,5
EMP0127,36,0,3,6,8,Onsite,38,2,2,2,Burnout,1,Decrease,2,2,1,0,1,3
EMP0128,51,0,4,2,21,Remote,34,0,5,0,Burnout,1,Decrease,2,2,2,1,0,2
EMP0129,27,0,1,0,15,Onsite,46,12,4,2,Burnout,0,No Change,2,2,2,0,2,2
EMP0130,22,0,5,6,21,Hybrid,35,2,3,1,Burnout,1,Decrease,5,2,3,1,0,4
EMP0131,32,0,1,1,16,Remote,23,9,1,2,Burnout,0,No Change,5,0,5,1,1,0
EMP0132,32,0,3,5,26,Remote,28,15,5,1,Burnout,1,Increase,2,2,4,1,0,0
EMP0133,53,1,3,6,4,Onsite,57,10,3,2,Burnout,0,No Change,4,0,2,1,1,5
EMP0134,26,2,3,5,29,Hybrid,29,4,1,1,Burnout,1,Decrease,4,1,2,1,1,2
EMP0135,60,1,3,2,2,Hybrid,39,1,4,2,Burnout,0,Increase,5,2,2,1,2,4
EMP0136,51,2,3,4,26,Remote,46,4,5,2,Burnout,0,Increase,4,2,5,1,1,4
EMP0137,44,1,0,3,14,Remote,26,9,2,0,Burnout,0,No Change,4,0,5,0,1,5
EMP0138,48,2,5,4,10,Remote,32,4,4,2,Burnout,1,No Change,5,1,5,1,2,4
EMP0139,57,2,0,1,34,Remote,30,11,3,0,Burnout,0,Increase,3,2,5,1,2,3
EMP0140,49,2,4,1,11,Hybrid,48,3,5,1,Anxiety,1,Decrease,5,1,1,1,0,1
EMP0141,32,2,4,1,12,Onsite,44,13,1,0,Anxiety,1,Decrease,1,1,5,1,2,0
EMP0142,49,0,4,3,29,Hybrid,49,15,5,1,Burnout,1,Decrease,5,0,4,1,2,1
EMP0143,23,0,1,5,11,Hybrid,23,0,5,0,Burnout,0,No Change,2,2,1,1,2,2
EMP0144,55,3,1,2,3,Onsite,33,6,5,1,Burnout,0,No Change,4,1,2,0,1,3
EMP0145,47,2,2,1,18,Remote,35,15,5,0,Anxiety,0,No Change,4,2,2,0,0,1
EMP0146,48,2,3,0,5,Remote,41,8,3,2,Depression,1,Decrease,4,1,4,1,2,2
EMP0147,36,3,6,3,3,Hybrid,34,12,2,1,Depression,0,Increase,4,0,3,0,0,0
EMP0148,45,1,1,2,14,Remote,44,10,1,1,Anxiety,1,No Change,1,2,5,0,0,3
EMP0149,41,0,1,4,10,Onsite,52,8,4,0,Depression,1,Decrease,3,1,4,0,1,4
EMP0150,50,1,1,0,17,Onsite,57,11,2,1,Burnout,1,Decrease,1,2,3,1,1,4
EMP0151,41,0,6,0,34,Remote,32,15,3,0,Anxiety,1,Decrease,2,2,3,1,0,4
EMP0152,57,0,1,0,20,Remote,31,6,4,1,Burnout,0,No Change,3,1,4,0,2,4
EMP0153,30,1,6,3,29,Hybrid,58,15,1,2,Burnout,0,Increase,2,2,2,1,2,0
EMP0154,23,0,0,0,31,Remote,26,9,1,2,Depression,1,No Change,2,2,2,1,2,1
EMP0155,30,1,6,0,17,Remote,57,5,1,1,Burnout,1,No Change,2,2,4,1,0,3
EMP0156,47,0,4,3,31,Onsite,20,8,1,1,Burnout,0,Decrease,4,0,1,1,1,3
EMP0157,33,3,4,2,23,Hybrid,26,0,4,0,Burnout,0,Decrease,1,1,2,1,0,5
EMP0158,32,1,0,2,21,Hybrid,43,15,3,0,Depression,0,No Change,4,0,3,1,1,3
EMP0159,43,1,1,5,6,Onsite,50,14,3,1,Depression,1,Increase,1,2,3,0,0,5
EMP0160,43,2,6,3,14,Onsite,52,0,5,0,Burnout,0,Increase,2,1,3,1,1,4
EMP0161,35,0,3,4,34,Hybrid,37,1,4,2,Anxiety,0,Decrease,2,1,1,1,0,0
EMP0162,40,0,0,1,24,Hybrid,38,0,3,0,Burnout,1,No Change,4,0,1,1,0,0
EMP0163,29,3,1,0,3,Hybrid,55,11,1,0,Depression,0,Increase,1,2,2,1,2,5
EMP0164,24,2,0,5,5,Hybrid,53,14,1,2,Burnout,0,Increase,3,0,1,1,0,0
EMP0165,40,1,6,3,11,Onsite,20,13,1,2,Burnout,0,Increase,5,0,1,1,1,4
EMP0166,22,0,6,5,10,Hybrid,46,1,2,1,Anxiety,1,Increase,1,0,5,0,2,0
EMP0167,48,2,6,1,35,Onsite,30,8,2,1,Depression,1,No Change,3,1,2,1,0,0
EMP0168,60,2,6,6,27,Remote,50,8,2,0,Anxiety,0,No Change,3,1,3,0,2,1
EMP0169,34,3,2,3,15,Remote,50,13,2,2,Burnout,1,No Change,3,1,2,0,0,2
EMP0170,50,3,4,5,10,Hybrid,50,0,1,1,Burnout,1,Increase,5,1,3,0,2,2
EMP0171,38,1,1,6,19,Remote,23,7,1,1,Burnout,0,Increase,4,0,3,1,2,3
EMP0172,36,1,0,6,33,Onsite,45,3,4,2,Depression,0,Decrease,3,2,4,1,1,2
EMP0173,35,2,6,2,11,Hybrid,25,4,1,2,Burnout,0,No Change,4,1,3,1,1,5
EMP0174,25,3,1,5,35,Remote,36,9,2,0,Burnout,1,Increase,1,0,4,1,1,3
EMP0175,34,2,2,1,10,Onsite,60,3,2,1,Burnout,1,Decrease,3,2,5,0,1,2
EMP0176,32,3,4,3,12,Remote,35,7,3,1,Anxiety,1,No Change,5,1,4,0,0,2
EMP0177,58,3,3,5,14,Hybrid,55,12,3,2,Depression,0,No Change,5,1,4,1,1,3
EMP0178,40,0,4,2,31,Onsite,47,10,1,2,Burnout,0,Decrease,3,0,2,1,1,2
EMP0179,56,0,2,3,32,Hybrid,57,10,4,0,Burnout,0,Increase,4,1,4,1,1,5
EMP0180,44,2,2,1,17,Hybrid,22,9,2,2,Burnout,1,Decrease,3,2,1,1,1,5
EMP0181,30,2,0,4,22,Remote,43,5,1,2,Burnout,1,Decrease,5,0,2,0,2,2
EMP0182,49,2,3,0,29,Remote,45,9,5,1,Burnout,1,Decrease,4,2,4,1,1,5
EMP0183,26,1,1,3,21,Onsite,56,14,2,1,Burnout,1,Increase,4,1,1,1,0,2
EMP0184,52,1,0,4,22,Onsite,46,14,3,0,Depression,0,No Change,3,0,2,0,1,0
EMP0185,24,3,2,5,13,Hybrid,60,0,5,2,Depression,0,Decrease,1,0,2,0,1,2
EMP0186,40,2,1,0,12,Remote,32,9,1,2,Depression,0,No Change,1,2,1,1,0,1
EMP0187,57,2,2,5,11,Hybrid,59,13,5,2,Anxiety,1,Decrease,5,2,4,1,0,4
EMP0188,23,3,6,0,17,Onsite,60,13,5,0,Burnout,0,No Change,5,0,5,0,1,4
EMP0189,40,3,0,4,35,Hybrid,43,4,5,0,Burnout,0,No Change,2,2,3,1,0,4
EMP0190,45,1,0,1,15,Remote,33,8,1,1,Burnout,1,No Change,4,1,2,1,2,3
EMP0191,46,0,0,2,11,Hybrid,20,14,3,1,Burnout,0,Decrease,5,1,2,0,0,2
EMP0192,37,0,6,6,16,Hybrid,27,2,1,2,Anxiety,1,No Change,4,2,3,1,2,3
EMP0193,51,0,6,3,4,Onsite,43,1,5,2,Depression,0,No Change,4,2,2,1,0,5
EMP0194,52,1,5,4,29,Onsite,23,12,2,2,Depression,0,Decrease,5,0,1,0,0,5
EMP0195,53,1,0,1,22,Onsite,29,0,1,2,Burnout,0,No Change,4,0,4,1,1,0
EMP0196,39,1,5,1,7,Remote,47,0,2,2,Burnout,0,Decrease,5,0,4,1,2,3
EMP0197,56,0,1,3,28,Onsite,46,12,1,1,Anxiety,1,Increase,3,0,5,1,1,4
EMP0198,59,2,3,5,13,Hybrid,40,2,1,1,Burnout,1,Decrease,1,0,4,1,0,5
EMP0199,28,1,4,6,7,Remote,47,0,4,0,Burnout,1,Decrease,1,2,3,0,2,4
EMP0200,36,0,0,2,3,Remote,53,7,3,0,Burnout,0,Decrease,2,2,2,0,0,5
EMP0201,45,2,5,1,3,Hybrid,55,14,4,2,Burnout,0,Increase,4,0,1,0,0,4
EMP0202,52,1,5,6,2,Remote,40,1,2,2,Anxiety,0,Decrease,2,0,3,1,1,1
EMP0203,55,0,4,4,32,Hybrid,28,8,5,1,Depression,0,Decrease,2,1,1,1,2,1
EMP0204,58,1,5,0,18,Hybrid,39,14,3,1,Burnout,0,No Change,3,0,1,1,1,5
EMP0205,51,3,6,4,14,Onsite,41,5,5,2,Burnout,0,No Change,4,2,2,1,1,1
EMP0206,52,1,0,2,5,Onsite,21,3,5,1,Burnout,1,Increase,4,1,5,0,2,4
EMP0207,54,2,4,4,12,Onsite,34,11,3,1,Burnout,1,No Change,2,2,5,0,1,0
EMP0208,35,1,1,6,2,Remote,36,14,3,1,Burnout,0,Decrease,5,2,2,1,1,2
EMP0209,39,1,3,5,19,Remote,32,2,4,0,Anxiety,1,Decrease,1,1,4,1,0,3
EMP0210,47,3,5,0,7,Hybrid,21,8,2,2,Anxiety,0,No Change,3,2,5,1,0,0
EMP0211,49,1,4,5,31,Onsite,56,3,5,0,Anxiety,1,No Change,1,1,4,0,2,2
EMP0212,60,3,3,5,33,Onsite,58,8,4,1,Burnout,0,No Change,2,1,4,1,2,3
EMP0213,47,0,6,5,11,Onsite,35,8,1,0,Burnout,0,No Change,2,1,4,1,1,4
EMP0214,27,3,4,3,22,Hybrid,52,3,1,1,Anxiety,1,Decrease,4,1,5,1,1,2
EMP0215,46,3,3,0,30,Remote,33,8,1,1,Depression,0,Increase,3,0,4,0,0,5
EMP0216,25,2,6,5,22,Remote,47,9,2,2,Burnout,0,Decrease,1,0,4,1,1,2
EMP0217,30,1,2,1,11,Onsite,56,13,3,2,Depression,0,Increase,4,1,4,1,2,4
EMP0218,38,3,0,1,35,Onsite,33,4,2,1,Anxiety,1,Increase,2,0,2,0,0,2
EMP0219,56,0,2,1,5,Remote,60,9,3,1,Anxiety,0,No Change,1,1,4,1,0,1
EMP0220,42,1,5,5,23,Hybrid,32,5,4,1,Burnout,0,No Change,2,2,1,1,1,5
EMP0221,42,3,4,6,18,Hybrid,48,9,5,2,Burnout,0,Decrease,1,1,5,1,1,4
EMP0222,30,0,2,4,20,Hybrid,39,6,4,0,Burnout,0,Increase,3,0,5,1,0,1
EMP0223,33,1,6,0,6,Onsite,23,6,3,0,Anxiety,1,No Change,5,2,2,1,1,1
EMP0224,28,2,3,6,29,Hybrid,38,3,3,0,Anxiety,1,Decrease,4,1,1,1,0,0
EMP0225,50,2,1,5,1,Remote,30,5,1,1,Anxiety,0,Increase,2,2,2,0,0,3
EMP0226,44,1,6,6,4,Onsite,35,3,1,1,Burnout,1,Increase,3,0,1,1,1,0
EMP0227,40,0,0,3,6,Remote,22,0,5,2,Burnout,1,Increase,4,1,4,1,0,5
EMP0228,23,1,4,4,8,Onsite,28,15,2,2,Depression,1,Increase,3,1,3,1,2,1
EMP0229,30,0,3,0,32,Onsite,57,4,3,2,Burnout,0,Decrease,3,0,5,1,1,4
EMP0230,42,0,2,5,10,Hybrid,48,14,2,1,Burnout,1,Decrease,3,1,1,1,1,2
EMP0231,52,1,3,6,7,Onsite,45,14,1,2,Burnout,0,No Change,5,2,4,0,0,0
EMP0232,37,1,3,3,29,Onsite,34,3,4,1,Burnout,0,Decrease,3,1,2,1,2,4
EMP0233,28,3,3,5,19,Hybrid,59,9,5,1,Burnout,0,Decrease,1,2,2,1,2,0
EMP0234,31,3,6,0,18,Remote,31,6,3,0,Burnout,1,Increase,3,0,2,1,0,1
EMP0235,23,3,3,6,9,Onsite,55,12,4,1,Burnout,0,No Change,2,0,5,0,2,0
EMP0236,37,1,0,2,18,Remote,23,11,2,1,Burnout,0,No Change,4,2,4,1,0,4
EMP0237,25,1,2,3,33,Hybrid,51,7,1,2,Depression,0,Decrease,2,0,1,1,0,2
EMP0238,55,0,6,5,13,Remote,32,11,5,2,Depression,1,No Change,1,1,4,0,0,2
EMP0239,56,2,3,4,4,Remote,41,14,5,1,Depression,1,Increase,4,0,1,1,1,3
EMP0240,51,3,6,5,24,Hybrid,46,10,1,1,Burnout,0,No Change,1,0,1,0,2,5
EMP0241,35,1,2,1,6,Onsite,58,15,4,0,Depression,0,No Change,3,0,2,1,2,4
EMP0242,22,2,5,5,2,Onsite,59,13,2,0,Burnout,1,Increase,3,1,3,1,2,3
EMP0243,34,2,4,1,10,Remote,40,1,1,2,Depression,0,Decrease,5,0,4,1,1,4
EMP0244,37,3,5,6,32,Remote,56,3,2,0,Burnout,0,Decrease,1,0,1,1,2,2
EMP0245,59,3,6,2,17,Onsite,47,11,2,0,Anxiety,1,No Change,1,0,3,1,2,3
EMP0246,53,0,4,4,25,Hybrid,38,2,2,1,Anxiety,1,Increase,2,1,3,1,1,5
EMP0247,38,1,0,3,25,Remote,59,12,5,1,Anxiety,0,Increase,3,0,1,1,0,5
EMP0248,32,1,4,5,17,Onsite,47,4,1,2,Burnout,1,Increase,2,2,4,1,2,4
EMP0249,36,3,2,5,17,Remote,49,6,3,2,Depression,0,Decrease,5,0,5,1,0,0
EMP0250,29,0,4,5,18,Hybrid,20,6,5,1,Burnout,1,No Change,4,1,2,1,2,0
EMP0251,38,2,4,5,26,Hybrid,50,9,1,0,Anxiety,1,Increase,2,1,2,1,1,5
EMP0252,32,1,4,1,21,Hybrid,32,0,4,0,Depression,1,No Change,3,2,1,1,1,4
EMP0253,43,3,5,4,21,Hybrid,23,8,3,1,Anxiety,1,Increase,3,0,3,0,0,4
EMP0254,46,3,2,4,25,Remote,22,13,3,2,Anxiety,0,Increase,3,2,3,1,0,0
EMP0255,42,3,0,1,4,Hybrid,33,11,5,2,Burnout,1,Decrease,2,0,2,0,1,0
EMP0256,27,1,4,1,25,Hybrid,32,13,3,2,Burnout,1,Decrease,5,2,5,1,0,4
EMP0257,54,3,3,6,10,Onsite,51,0,1,2,Anxiety,0,Increase,2,2,2,0,0,2
EMP0258,43,1,1,3,34,Hybrid,49,11,3,2,Burnout,0,Decrease,3,1,3,1,2,4
EMP0259,31,0,0,1,9,Remote,30,9,1,2,Anxiety,0,No Change,1,1,3,0,0,4
EMP0260,53,2,6,1,11,Remote,25,9,2,2,Burnout,1,Increase,2,0,5,1,0,1
